integration_area,candidate_platform,official_pricing_url,pricing_checked_on,free_tier,student_education_benefit,startup_credit,estimated_cost_dev,estimated_cost_beta,estimated_cost_prod,benefits,drawbacks,complexity,best_fit_for_repo,recommendation_reason
Queue/Background Jobs,BullMQ + Redis (Upstash),https://upstash.com/pricing,2026-03-06,"Upstash Redis free: 10K commands/day; 256MB; 1 database","N/A","N/A",₹0/month (Upstash free tier),₹0-840/month ($0-10 Upstash Redis),₹840-4200/month ($10-50 Upstash Redis Scale),Industry standard; already referenced in code TODOs; retry logic; delayed jobs; priority queues; cron jobs; BullMQ board for monitoring,Requires Redis (Upstash or self-hosted); BullMQ adds complexity vs in-memory; 10K commands/day free is limited,Medium,YES,"Already referenced in codebase TODOs. Upstash serverless Redis free tier covers dev; pay-as-you-go at beta. BullMQ is the standard for Node.js background jobs (email sends, video session cleanup, AI batch processing)."
Queue/Background Jobs,Trigger.dev,https://trigger.dev/pricing,2026-03-06,"Free: 50K job runs/month; 10 concurrent; 10 event sources","GitHub Student Pack: included","N/A",₹0/month (Student Pack),₹0/month (Student Pack; 50K runs),₹0-2100/month ($0-25 at growth),Excellent DX; TypeScript-native; no Redis required; retry UI; real-time logs; scheduled tasks; GitHub Student Pack access,Newer platform (2023); vendor dependency; less ecosystem than BullMQ; cloud-only (no self-host free),Low,YES,"GitHub Student Pack access + no Redis requirement makes this the easiest background job solution. Perfect for therapy booking confirmations, scheduled reminders, AI batch processing."
Queue/Background Jobs,Inngest,https://www.inngest.com/pricing,2026-03-06,"Free: 50K function runs/month; 3-day event log retention","N/A","N/A",₹0/month,₹0/month (50K runs/month),₹1260-2520/month ($15-30 at scale),TypeScript-first; event-driven; durable functions; step functions for complex workflows; great for multi-step therapy booking flows,Vendor dependency; event-driven model is a paradigm shift from BullMQ,Low,YES,"Best for complex multi-step workflows (book therapy → send confirmation → create video room → notify therapist). Durable functions handle partial failures elegantly. 50K/month free covers beta."
Queue/Background Jobs,Upstash QStash,https://upstash.com/pricing,2026-03-06,"Free: 500 requests/day; 5 schedules; 10K messages/month","N/A","N/A",₹0/month,₹0-420/month ($0-5),₹420-1260/month ($5-15),HTTP-based message queue; no server to manage; works with serverless; same Upstash account as Redis,500 requests/day free is very limited; HTTP-based means latency; not suitable for high-frequency jobs,Low,MAYBE,"Use QStash for simple webhook delivery and scheduled tasks (daily horoscope push, weekly report emails). Not suitable for high-frequency video session management jobs."
Queue/Background Jobs,Quirrel,N/A,2026-03-06,"Deprecated — no longer maintained","N/A","N/A",N/A,N/A,N/A,Was a simple job queue for Next.js/Vercel,DEPRECATED — project archived; no maintenance; security vulnerabilities unpatched,N/A,NO,"Project is archived and deprecated. The maintainer recommends Inngest as replacement. Do not use."
Real-time/WebSocket,ws library (current),https://github.com/websockets/ws,2026-03-06,"Free: open source; self-hosted","N/A","N/A",₹0/month,₹0/month,₹0/month,Lightweight; already implemented server-side; works on any Node.js host; no vendor dependency; full control,Manual reconnection logic needed client-side; no built-in rooms/namespaces; no presence; not wired to UI yet,Medium,STAY,"ws is already implemented and works well for current needs (real-time therapy session events). Connect it to React UI before considering upgrades. Add reconnection logic with ws heartbeat pattern."
Real-time/WebSocket,Socket.io,https://socket.io/,2026-03-06,"Free: open source; self-hosted","N/A","N/A",₹0/month,₹0/month,₹0/month,Rooms; namespaces; automatic reconnection; fallback to long-polling; larger ecosystem than ws; client library handles edge cases,Larger bundle size; abstraction over ws; requires Socket.io-compatible client (not plain ws),Medium,MAYBE,"Natural upgrade from ws if reconnection/rooms become painful to manage manually. Minimal migration effort — swap ws server for Socket.io server. Recommended for video therapy session signaling."
Real-time/WebSocket,Ably,https://ably.com/pricing,2026-03-06,"Free: 6M messages/month; 200 concurrent connections","GitHub Student Pack: 1 year free","N/A",₹0/month (Student Pack),₹0/month (Student Pack),₹2436/month ($29 Standard),Managed WebSocket infrastructure; 99.999% SLA; presence channels; history; pub/sub; push notifications; GitHub Student Pack 1 year free,Vendor dependency; ₹29/month after free tier; for most use cases ws/Socket.io is sufficient,Low,MAYBE,"GitHub Student Pack 1 year free is compelling. Use Ably if the team wants managed WebSocket without DevOps burden. Real-time presence ('therapist is typing') features work out of the box."
Real-time/WebSocket,Pusher,https://pusher.com/pricing,2026-03-06,"Free: 200K messages/day; 100 concurrent connections","GitHub Student Pack: included","N/A",₹0/month (Student Pack),₹0/month (Student Pack),₹4116/month ($49 Starter),Channels + Beams (push notifications); battle-tested; GitHub Student Pack access; easy to integrate,Expensive Pro tier; 200K messages/day sounds like a lot but isn't at scale; vendor lock-in,Low,MAYBE,"GitHub Student Pack + 200K messages/day free is generous for beta. Good if you also need mobile push notifications (Beams) in the same SDK."
Real-time/WebSocket,Supabase Realtime,https://supabase.com/docs/guides/realtime,2026-03-06,"Free: with Supabase free tier; 200 concurrent connections","GitHub Student Pack: 1 year Pro free","N/A",₹0/month (Student Pack),₹0/month (Student Pack),₹2100/month ($25 Pro),Postgres Change Data Capture → real-time subscriptions; presence; broadcast; integrated with Supabase Auth RLS,Tightly coupled to Supabase ecosystem; not useful without Supabase DB,Low,MAYBE,"Only relevant if migrating DB to Supabase. Supabase Realtime replaces ws for DB change notifications. Powerful for real-time therapy notes sync."
CDN/DNS,Cloudflare,https://www.cloudflare.com/plans/,2026-03-06,"Free: unlimited bandwidth; global CDN; DDoS protection; SSL; DNS; WAF (limited)","N/A","N/A",₹0/month,₹0/month,₹0-1680/month ($0-20 Pro for advanced WAF),Global CDN with India PoPs (Mumbai/Delhi/Chennai); DDoS mitigation; free SSL; DNS with sub-ms resolution; R2 integration; Workers; DNSSEC,Some advanced security features (bot management) require Pro/Business; Workers are separate pricing,Low,YES,"No-brainer: free CDN + DDoS protection + SSL + DNS from day one. Every Soul Yatri deployment should be behind Cloudflare regardless of other choices. Mumbai PoP ensures <50ms latency for Indian users."
CDN/DNS,AWS CloudFront,https://aws.amazon.com/cloudfront/pricing/,2026-03-06,"Free: 1TB data out/month; 10M HTTP(S) requests for 12 months (first year only)","N/A","$300 AWS free credit","₹0/month (12-month free tier)",₹840-4200/month ($10-50 after free tier),₹4200-21000/month ($50-250 at scale),Tightly integrated with S3/EC2/Route53; Lambda@Edge; Origin Shield; custom SSL certs via ACM,12-month free tier expires; India egress is expensive ($0.170/GB from Mumbai); complex pricing; overkill if not on AWS stack,High,MAYBE,"Only choose CloudFront if hosting on AWS (S3+EC2). For India-specific deployments, Cloudflare's Mumbai PoP offers better latency and zero cost."
CDN/DNS,Bunny.net,https://bunny.net/pricing/,2026-03-06,"Free: 14-day trial; 1TB free with GitHub Student Pack","GitHub Student Pack: 1TB free bandwidth","N/A",₹0/month (Student Pack),₹420-840/month ($5-10 after trial),₹840-4200/month ($10-50),Cheapest CDN ($0.005/GB); India PoPs; Storage zones; image optimizer; stream (video); very fast,Less feature-rich than Cloudflare; no WAF; no DDoS protection at free tier level; less ecosystem,Low,MAYBE,"GitHub Student Pack 1TB free is useful. Best budget CDN for media assets (audio/video recordings). Use Cloudflare for DNS/security + Bunny.net for asset delivery to save on bandwidth costs."
CDN/DNS,Fastly,https://www.fastly.com/pricing,2026-03-06,"No meaningful free tier (enterprise-focused)","N/A","N/A",₹0/month (trial only),₹8400+/month ($100+),₹42000+/month ($500+),Instant purge; edge computing; real-time log streaming; excellent SLA,Enterprise pricing only; no free tier; overkill for student project; minimum contract requirements,High,NO,"Enterprise CDN with enterprise pricing. No free tier. Cloudflare provides equivalent (or better) features at zero cost for this scale."
SMS/OTP,Twilio,https://www.twilio.com/en-us/sms/pricing/in,2026-03-06,"Free: $15 trial credit (test only; cannot send to unverified numbers)","GitHub Student Pack: $50 Twilio credit","N/A",₹0/month (Student Pack credit),₹664-1680/month ($8-20; 1000-2500 SMS to India),₹6720-16800/month ($80-200 at scale),International standard; reliable India delivery; GitHub Student Pack $50 credit; MMS; WhatsApp API,₹0.664/SMS to India is expensive vs Indian providers; DLT registration still required; trial restricts to verified numbers,Low,MAYBE,"GitHub Student Pack $50 credit covers ~7500 OTPs for testing. Good for dev/testing but switch to MSG91 or Fast2SMS for production to save 90%+ on SMS costs."
SMS/OTP,MSG91,https://msg91.com/pricing,2026-03-06,"No free tier; DLT registration required before any sends","N/A","N/A",₹0-500/month (depends on DLT registration cost),₹200-1000/month (1000-5000 OTPs × ₹0.20),₹1000-5000/month (5000-25000 OTPs),Best India SMS provider; OTP-specific API; flow builder; DLT-compliant out of box; WhatsApp API; ₹0.20/OTP,DLT registration is mandatory (TRAI) and takes 1-3 weeks; minimum recharge required; no free tier,Medium,YES,"Best production SMS provider for India. DLT-compliant, reliable, cheap (₹0.20/OTP). Start DLT registration early (3+ weeks lead time). Use Twilio Student Pack credit for dev testing while waiting for DLT approval."
SMS/OTP,Fast2SMS,https://www.fast2sms.com/dashboard/pricing,2026-03-06,"Free: ₹50 signup credit (~200 SMS)","N/A","N/A",₹50 credit on signup,₹30-150/month (1000-5000 OTPs × ₹0.03-0.25),₹300-1250/month at scale,Cheapest India SMS (₹0.03-0.25/SMS depending on route); quick onboarding; DLT route available; promotional and transactional SMS,DLT route required for transactional OTP; non-DLT route limited; less reliable than MSG91 for OTP delivery; support can be slow,Low,YES,"₹50 free signup credit gets you started immediately. ₹0.03/SMS promotional route for testing; ₹0.25/SMS DLT transactional for production OTPs. Best budget choice for student team."
SMS/OTP,2Factor.in,https://2factor.in/v3/pricing/,2026-03-06,"Free: limited trial on signup","N/A","N/A",₹0-200/month (trial),₹150-250/month (1000 OTPs × ₹0.15-0.25),₹750-1250/month (5000 OTPs),OTP-only focus; voice OTP fallback; DLT compliant; very reliable delivery for India OTP; simple REST API,OTP-focused only (no marketing SMS); pricing similar to MSG91; smaller ecosystem,Low,YES,"Best-in-class OTP delivery for India. Voice OTP fallback (for users who can't receive SMS) is unique differentiator — critical for elderly therapy clients who may prefer voice confirmation."
Monitoring/Observability,Grafana Cloud,https://grafana.com/pricing/,2026-03-06,"Free: 50GB metrics/month; 50GB logs/month; 10K traces/month; 50GB Loki logs","N/A","N/A",₹0/month,₹0/month,₹0-1680/month ($0-20 Pro),Full observability stack (Grafana + Prometheus + Loki + Tempo + k6); dashboards; alerting; Node.js metrics exporter easy,Setup requires metrics instrumentation; 50GB free sounds like a lot but compresses well; more DevOps than Sentry,High,MAYBE,"Best choice for infrastructure monitoring at scale. Grafana + Prometheus Node.js exporter can track API latency, DB query times, WebSocket connections. Free tier is generous."
Monitoring/Observability,New Relic,https://newrelic.com/pricing,2026-03-06,"Free: 100GB data ingest/month; 1 full platform user; unlimited basic users","N/A","New Relic for Students (separate)",₹0/month,₹0/month,₹0/month (100GB/month covers most prod usage),APM + logs + infrastructure + errors + synthetics in one; 100GB/month free is very generous; Node.js APM agent; React Browser agent,100GB free can be exceeded at scale; APM agent adds overhead; complex to configure properly; US data residency default,Medium,MAYBE,"100GB/month free covers most production workloads. Node.js APM agent auto-instruments Express.js routes — see exactly which API endpoints are slowest. Good Sentry complement."
Monitoring/Observability,Uptrace,https://uptrace.dev/pricing.html,2026-03-06,"Free: open source (self-host); Cloud: 1M spans/month free","N/A","N/A",₹0/month,₹0/month,₹0-1680/month ($0-20 Cloud),OpenTelemetry-native; distributed tracing; metrics; logs; open source self-hostable; excellent for microservices,Newer platform; smaller community; requires OpenTelemetry instrumentation; self-hosting adds overhead,Medium,MAYBE,"OpenTelemetry standard means no vendor lock-in. If Soul Yatri adds microservices (auth service, video service, AI service), distributed tracing via Uptrace is valuable."
Monitoring/Observability,Datadog,https://www.datadoghq.com/pricing/,2026-03-06,"Free: 14-day trial only; no permanent free tier","N/A","N/A",₹0/month (trial only),₹1260/month ($15/host),₹5040/month ($60/host × 3 hosts min),Industry-leading APM; DogStatsD; 450+ integrations; ML anomaly detection; compliance dashboards,No free tier after trial; $15/host/month minimum; at 3+ hosts = $45/month minimum; overkill for student project,High,NO,"No free tier after 14-day trial. Enterprise APM pricing ($15+/host/month) is unjustifiable for a student project. Use Sentry (error monitoring) + Grafana Cloud (metrics) for equivalent coverage at zero cost."
